Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge
Schroder Global Emerging Market Opportunities Acc SGD,SGD,9,Y,Y,N,Y,1.20%,1.62%,SGD 103.68,1000,500,,,,0
Allianz Oriental Income Cl A Dis USD,USD,6,Y,N,N,Y,1.50%,1.85%,USD 959.44,1000,100,0.03%,Reinvest,Y,0
FTIF - Templeton Frontier Markets A (acc) USD,USD,10,Y,N,N,N,1.60%,2.67%,USD 348.00,1000,100,,,,0
FSSA Regional India A Acc SGD,SGD,9,Y,N,N,Y,1.75%,2.07%,SGD 104.50,1000,100,,,,0
United Global Financials Fund SGD,SGD,10,Y,N,N,Y,1.50%,3.39%,SGD 14.60,1000,100,,,,0
Aberdeen Standard Indonesia Equity SGD,SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 63.10,1000,100,,,,0
FTIF - Templeton Africa A (acc) USD,USD,9,Y,N,N,N,1.60%,,USD 61.00,1000,100,,,,0
Nikko AM Shenton Japan Fund SGD,SGD,8,Y,Y,N,Y,1.00%,1.13%,JPY 7475.72,1000,100,,,,0
HGIF - Indian Equity AD SGD,SGD,9,Y,N,N,Y,1.50%,1.90%,USD 1197.00,1000,100,,Reinvest,F,0
DWS Asia Premier Trust A SGD,SGD,8,Y,N,N,Y,1.25%,1.41%,SGD 119.41,1000,500,,,,0
Legg Mason Western Asset - Global Bond Trust A Acc SGD,SGD,2,Y,Y,Y,Y,0.75%,0.88%,SGD 358.00,1000,100,,,,0
PineBridge Acorns of Asia Balanced Fund SGD,SGD,6,Y,N,N,Y,1.25%,1.46%,SGD 121.90,1000,100,,,,0
Fidelity Euro Bond A-EUR,EUR,3,Y,N,N,N,0.75%,1.00%,EUR 1470.00,1000,100,,Reinvest,Y,0
Fidelity Asian Smaller Companies A-USD,USD,10,Y,N,N,N,1.50%,1.93%,USD 919.00,1000,100,1.38%,Reinvest,Y,0
United Global Telecoms Fund SGD,SGD,10,Y,N,N,Y,1.50%,2.38%,SGD 12.57,1000,100,,,,0
NN (L) Greater China Equity P USD,USD,8,Y,N,N,Y,1.50%,1.90%,USD 308.20,1000,100,,,,0
NN (L) Emerging Markets Enhanced Index Sustainability Equity P USD,USD,9,Y,N,N,Y,0.35%,0.60%,USD 548.70,1000,100,,,,0
NN (L) US High Dividend P USD,USD,8,Y,N,N,Y,1.50%,1.80%,USD 241.95,1000,100,,,,0
AB SICAV I Sustainable Global Thematic A SGD,SGD,7,Y,N,N,N,1.70%,1.95%,USD 1563.16,3000,1000,,,,0
Blackrock Global Dynamic Equity A2 USD,USD,7,Y,N,N,Y,1.50%,1.83%,USD 419.33,1000,100,,,,0
Blackrock World Gold Fund A2 USD,USD,10,Y,N,N,Y,1.75%,2.06%,USD 6060.91,1000,100,,,,0
