Fund Name,Currency,Risk Rating,Cash,CPFIS-OA,CPFIS-SA,SRS,Management Fee,Annual Expense Ratio,Fund Size(million),Initial,Subsequent,Indicated Gross <br\/> Dividend Yield* (%),Cash Investment,Frequency,FSM Sales Charge
DWS Invest Top Dividend LDQH(P) SGD,SGD,7,Y,N,N,N,1.50%,1.61%,EUR 2503.60,1000,100,6.50%,Payout,Q,0
Neuberger Berman China Equity A Acc USD,USD,9,Y,N,N,Y,1.85%,2.02%,USD 746.89,1000,100,,,,0
Neuberger Berman China Equity A Acc SGD-H,SGD,9,Y,N,N,Y,1.85%,2.02%,USD 746.89,1000,100,,,,0
Blackrock China Fund A2 SGD-H,SGD,9,Y,N,N,Y,1.50%,1.85%,USD 1311.10,1000,100,,,,0
Eastspring Investments - China Equity Fund AS SGD,SGD,9,Y,N,N,Y,1.50%,2.12%,USD 116.30,1000,100,,,,0
Allianz China Equity Cl AT Acc SGD,SGD,9,Y,N,N,Y,1.35%,1.90%,USD 809.08,1000,100,,,,0
Blackrock World Healthscience A2 SGD-H,SGD,10,Y,N,N,Y,1.50%,1.82%,USD 11459.05,1000,100,,,,0
Manulife Global Asset Allocation - Growth A MDis USD,USD,6,Y,N,N,N,1.35%,1.78%,SGD 114.62,1000,100,4.60%,Payout,M,0
HGIF - Managed Solutions - Asia Focused Income AC USD,USD,7,Y,N,N,N,1.25%,1.60%,USD 601.86,1000,100,,,,0
Janus Henderson Horizon Asian Dividend Income A2 USD,USD,8,Y,N,N,N,1.20%,1.94%,USD 127.40,1000,100,,,,0
First Eagle Amundi International AHS-C SGD-H,SGD,7,Y,N,N,N,2.00%,2.20%,USD 6904.33,1000,100,,,,0
Allianz Dynamic Asian High Yield Bond Cl AMg DIS USD,USD,5,Y,N,N,Y,1.25%,1.54%,USD 965.00,1000,100,8.30%,Payout,M,0
Aberdeen Standard Global Emerging Markets SGD,SGD,9,Y,Y,N,Y,1.50%,1.75%,SGD 275.00,1000,100,,,,0
PineBridge India Equity A5CP SGD,SGD,9,Y,Y,N,Y,1.00%,1.73%,USD 736.50,1000,100,,,,0
Allianz Asian Multi Income Plus Cl AMg DIS H2-EUR,EUR,6,Y,N,N,Y,1.25%,1.50%,USD 299.27,1000,100,4.00%,Payout,M,0
Natixis Loomis Sayles Multisector Income RD SGD,SGD,3,Y,N,N,N,1.25%,1.37%,USD 981.30,1100,100,2.96%,Payout,Q,0
Blackrock Global High Yield Bond A6 USD,USD,4,Y,N,N,Y,1.25%,1.46%,USD 1999.71,1000,100,5.80%,Reinvest,M,0
Blackrock Global High Yield Bond A8 AUD-H,AUD,4,Y,N,N,Y,1.25%,1.46%,USD 1999.71,1000,100,4.43%,Reinvest,M,0
DWS Invest Euro High Yield Corporates LC EUR,EUR,4,Y,N,N,N,1.10%,1.18%,EUR 3191.50,1000,100,,,,0
Allianz Asian Multi Income Plus Cl AMg DIS H2-RMB,CNH,6,Y,N,N,Y,1.25%,1.50%,USD 299.27,1000,100,6.97%,Payout,M,0
HSBC Portfolios - World Selection 3 AMH SGD,SGD,6,Y,N,N,Y,1.20%,1.57%,USD 922.81,1000,100,2.12%,Payout,M,0
FSSA Asian Growth A Acc SGD,SGD,8,Y,Y,N,Y,1.50%,1.77%,SGD 63.50,1000,100,,,,0
PIMCO Global Investment Grade Credit Fund Cl E Inc GBP-H,GBP,3,Y,N,N,Y,1.39%,1.39%,USD 26900.00,1000,500,1.71%,Payout,Q,0
Legg Mason QS - MV Asia Pacific ex Japan Equity Growth and Income A Acc USD,USD,9,Y,N,N,N,1.35%,1.83%,USD 36.15,1000,100,,,,0
JPMorgan Funds - China A (dist) USD,USD,9,Y,N,N,Y,1.50%,1.75%,USD 6108.90,1000,500,0.01%,Reinvest,Y,0
Fidelity International A-ACC-SGD (hedged),SGD,7,Y,N,N,N,1.50%,,USD 1902.00,1000,100,,,,0
BNP Paribas Japan Small Cap Classic H USD,USD,10,Y,N,N,N,1.75%,2.37%,JPY 135819.00,1000,100,,,,0
JPMorgan Funds - US Technology A (acc) SGD,SGD,10,Y,N,N,N,1.50%,1.80%,USD 5437.60,1000,500,,,,0
Blackrock Sustainable Energy A2 USD,USD,10,Y,N,N,Y,1.75%,1.97%,USD 5070.75,1000,100,,,,0
HGIF - Managed Solutions - Asia Focused Growth AC USD,USD,7,Y,N,N,N,1.50%,1.88%,USD 47.81,1000,100,,,,0
Fullerton Asian Bond Fund Cl B SGD,SGD,3,Y,N,N,Y,0.90%,1.37%,SGD 22.36,1000,100,,,,0
Fidelity Asian Bond A-MDIST-USD,USD,3,Y,N,N,N,0.75%,1.05%,USD 3435.00,1000,100,2.21%,Payout,M,0
BNP Paribas Emerging Bond Opportunities USD,USD,5,Y,N,N,N,1.50%,1.87%,USD 479.00,1000,100,,,,0
Legg Mason ClearBridge - Tactical Dividend Income A Mdis USD Plus,USD,9,Y,N,N,N,1.25%,1.74%,USD 38.72,1000,100,4.27%,Reinvest,M,0
Legg Mason ClearBridge - Tactical Dividend Income A Mdis CNH-H Plus,CNH,9,Y,N,N,N,1.25%,1.74%,USD 38.72,1000,100,,Reinvest,M,0
Natixis DNCA Europe Smaller Companies RA EUR,EUR,10,Y,N,N,N,2.05%,2.20%,EUR 136.00,1000,100,,,,0
HGIF - Global Emerging Markets Bond AM3H SGD,SGD,5,Y,N,N,Y,1.25%,1.62%,USD 2239.45,1000,100,4.58%,Payout,M,0
HGIF - Global Equity Volatility Focused AM2 USD,USD,7,Y,N,N,Y,1.50%,1.85%,USD 133.40,1000,100,2.20%,Payout,M,0
Allianz Asian Multi Income Plus Cl AMg DIS H2-SGD,SGD,6,Y,N,N,Y,1.25%,1.50%,USD 299.27,1000,100,4.85%,Payout,M,0
Schroder ISF Global Multi-Asset Income A Acc SGD,SGD,5,Y,N,N,N,1.25%,1.55%,USD 2103.39,1000,100,,,,0
JPMorgan Funds - Japan Equity A (acc) USD-H,USD,8,Y,N,N,Y,1.50%,1.73%,USD 6087.50,1000,100,,,,0
HSBC Portfolios - World Selection 1 AMH SGD,SGD,6,Y,N,N,Y,1.00%,1.34%,USD 459.02,1000,100,1.40%,Payout,M,0
FSSA China Growth I Acc USD,USD,9,Y,N,N,N,2.00%,2.08%,USD 4641.40,1500,1000,,,,0
Blackrock World Energy Fund A2 USD,USD,10,Y,N,N,Y,1.75%,2.07%,USD 2018.24,1000,100,,,,0
HGIF - India Fixed Income AC USD,USD,5,Y,N,N,N,1.10%,1.45%,USD 916.47,1000,100,,,,0
HGIF - Managed Solutions - Asia Focused Income AM3H SGD,SGD,7,Y,N,N,Y,1.25%,1.63%,USD 601.86,1000,100,3.00%,Payout,M,0
Aviva Investors - Multi-Strategy Target Return Ah SGD,SGD,10,Y,N,N,Y,1.50%,1.59%,null ,1000,100,,,,0
PIMCO Global Bond Fund Cl E Acc USD,USD,2,Y,N,N,Y,1.39%,1.39%,USD 16200.00,1000,500,,,,0
Aviva Investors - Multi-Strategy Target Return Ah USD,USD,10,Y,N,N,Y,1.50%,1.60%,null ,1000,100,,,,0
Eastspring Investments - US Corporate Bond A USD,USD,3,Y,N,N,N,0.90%,1.59%,USD 4377.10,1000,100,,,,0
Nikko AM MyHome Income Z SGD,SGD,5,Y,N,N,Y,0.50%,2.15%,SGD 3.00,1000,100,4.04%,Reinvest,H,0
Blackrock Nutrition A2 SGD-H,SGD,10,Y,N,N,Y,1.50%,1.82%,USD 119.56,1000,100,,,,0
Schroder ISF Global Emerging Market Opportunities A Acc SGD,SGD,9,Y,N,N,N,1.50%,1.86%,USD 1895.83,1000,100,,,,0
Neuberger Berman Emerging Market Corporate Debt A MDis USD,USD,5,Y,N,N,Y,1.60%,1.80%,USD 158.84,1000,100,5.12%,Payout,M,0
PineBridge US Large Cap Research Enhanced A USD,USD,8,Y,N,N,Y,1.00%,1.69%,USD 129.40,1000,100,,,,0
Fidelity European Growth SR-ACC-SGD (CPF),SGD,8,N,Y,N,N,1.30%,1.69%,EUR 6370.00,1000,100,,,,0
Blackrock Latin American A2 USD,USD,9,Y,N,N,Y,1.75%,2.11%,USD 853.41,1000,100,,,,0
Schroder BRIC Acc SGD,SGD,9,Y,N,N,Y,,1.94%,SGD 77.33,1000,500,,,,0
FTIF - Templeton Frontier Markets A Acc SGD,SGD,10,Y,N,N,Y,1.60%,2.68%,USD 348.00,1000,100,,,,0
PIMCO Emerging Markets Bond Fund Cl E Acc USD,USD,5,Y,N,N,Y,1.69%,1.69%,USD 5300.00,1000,500,,,,0
United Japan Small and Mid Cap USD,USD,10,Y,N,N,N,1.75%,2.06%,USD 157.92,1000,100,,,,0
Neuberger Berman US Long Short Equity A1 Acc USD,USD,10,Y,N,N,Y,2.00%,2.25%,USD 424.49,1000,100,,,,0
HGIF - Global Equity Volatility Focused AM3H SGD,SGD,7,Y,N,N,Y,1.50%,1.88%,USD 133.40,1000,100,2.01%,Payout,M,0
Neuberger Berman US Real Estate Securities A Acc SGD-H,SGD,10,Y,N,N,Y,1.50%,1.80%,USD 352.88,1000,100,,,,0
AB FCP I Global Equity Blend A SGD,SGD,7,Y,N,N,N,1.60%,2.10%,USD 117.32,3000,1000,,,,0
Eastspring Investments - Global Market Navigator ASDMC1 SGD-H,SGD,6,Y,N,N,N,1.25%,1.48%,USD 173.80,1000,100,2.79%,Payout,M,0
Legg Mason ClearBridge - US Aggressive Growth A Acc USD,USD,9,Y,N,N,N,1.30%,1.74%,USD 744.00,1000,100,,,,0
Legg Mason Western Asset - Global Multi Strategy A Mdis SGD-H Plus,SGD,4,Y,N,N,N,1.10%,1.34%,USD 674.00,1000,100,4.20%,Reinvest,M,0
HGIF - Turkey Equity Fund CL AD SGD,SGD,10,Y,N,N,Y,1.75%,2.15%,EUR 49.02,1000,100,0.60%,Reinvest,Y,0
Neuberger Berman Emerging Market Corporate Debt A Acc USD,USD,5,Y,N,N,Y,1.60%,1.80%,USD 158.84,1000,100,,,,0
Eastspring Investments - Global Emerging Markets Dynamic A USD,USD,9,Y,N,N,N,1.50%,1.92%,USD 591.50,1000,100,,,,0
Neuberger Berman Emerging Market Debt Hard Currency A MDis SGD-H,SGD,5,Y,N,N,Y,1.40%,1.54%,USD 4159.38,1000,100,5.50%,Payout,M,0
Fidelity Global Financial Services A-USD,USD,10,Y,N,N,N,1.50%,1.91%,EUR 640.00,1000,100,0.19%,Reinvest,Y,0
Eastspring Investments - North American Value Cl AS SGD,SGD,8,Y,N,N,Y,1.50%,2.07%,USD 20.50,1000,100,,,,0
FTIF - Templeton Global Equity Income AS MDIS SGD (CPF),SGD,7,N,N,N,N,1.00%,1.75%,USD 78.00,1000,100,,,,0
Fidelity Emerging Markets SR-ACC-SGD (CPF),SGD,9,N,Y,N,N,1.30%,1.72%,USD 6966.00,1000,100,,,,0
Eastspring Investments - Japan Dynamic AS SGD,SGD,8,Y,N,N,Y,1.50%,1.59%,JPY 105039.90,1000,100,,,,0
Janus Henderson Horizon China Opportunities A2 USD,USD,10,Y,N,N,N,1.20%,1.95%,USD 161.82,1000,100,,,,0
Allianz US Equity Cl AT Acc SGD,SGD,8,Y,N,N,Y,1.50%,1.85%,USD 260.66,1000,100,,,,0
BNP Paribas Europe Dividend EUR,EUR,8,Y,N,N,N,1.50%,1.97%,EUR 201.00,1000,100,,,,0
Natixis Seeyond Volatility Strategy RA EUR,EUR,10,Y,N,N,N,1.20%,1.40%,EUR 14.40,1000,100,,,,0
HGIF - BRIC Equity AC SGD,SGD,9,Y,N,N,Y,1.50%,1.85%,USD 286.71,1000,100,,,,0
Fidelity Asian High Yield A-HMDIST(G)-AUD (hedged),AUD,5,Y,N,N,N,1.00%,1.39%,USD 5054.00,1000,100,7.68%,Payout,M,0
Fidelity Emerging Markets Focus A-EUR,EUR,9,Y,N,N,N,1.50%,1.91%,USD 870.00,1000,100,0.32%,Reinvest,Y,0
Fidelity Emerging Markets Focus A-USD,USD,9,Y,N,N,N,1.50%,1.91%,USD 870.00,1000,100,0.29%,Reinvest,Y,0
Neuberger Berman Strategic Income A MDis SGD-H,SGD,3,Y,N,N,Y,1.00%,1.18%,USD 1254.07,1000,100,4.10%,Payout,M,0
JPMorgan Funds - Latin America Equity A (acc) USD,USD,9,Y,N,N,Y,1.50%,1.80%,USD 624.70,1000,500,,,,0
Neuberger Berman Emerging Market Debt Local Currency A Acc USD,USD,5,Y,N,N,Y,1.50%,1.70%,USD 2875.12,1000,100,,,,0
Fidelity Greater China SR-ACC-SGD (CPF),SGD,8,N,Y,N,N,1.30%,1.73%,USD 1162.00,1000,100,,,,0
FTIF - Templeton Emerging Markets A Acc SGD,SGD,9,Y,N,N,Y,1.15%,2.00%,USD 1080.00,1000,100,,,,0
Natixis Seeyond Volatility Strategy RA SGD-H,SGD,10,Y,N,N,N,1.20%,1.40%,EUR 14.40,1000,100,,,,0
Allianz US Equity Dividend Cl AT Acc SGD,SGD,8,Y,N,N,Y,1.50%,1.86%,USD 2.73,1000,100,,,,0
United Asia Pacific Real Estate Income Acc SGD,SGD,10,Y,N,N,Y,1.50%,2.38%,SGD 16.80,1000,100,,,,0
BNP Paribas Europe Growth Classic RH SGD MD,SGD,8,Y,N,N,N,1.50%,1.97%,EUR 526.00,1000,100,2.24%,Payout,M,0
BNP Paribas US Mid Cap Classic Dis USD,USD,10,Y,N,N,N,1.75%,2.29%,USD 124.00,1000,100,1.32%,Payout,Y,0
BNP Paribas Japan Equity Classic Cap H USD,USD,8,Y,N,N,N,1.50%,1.97%,JPY 19186.00,1000,100,,,,0
Allianz Asian Multi Income Plus Cl AM DIS USD,USD,6,Y,N,N,Y,1.25%,1.50%,USD 299.27,1000,100,4.42%,Payout,M,0
Fidelity America SR-ACC-USD  (CPF),USD,8,N,Y,N,N,1.30%,1.69%,USD 2240.00,1000,100,,,,0
Allianz Asian Multi Income Plus Cl AMg DIS H2-GBP,GBP,6,Y,N,N,Y,1.25%,1.50%,USD 299.27,1000,100,4.43%,Payout,M,0
HGIF - Global Equity Volatility Focused ACH AUD,AUD,7,Y,N,N,Y,1.50%,1.87%,USD 133.40,1000,100,,,,0
Allianz Global Agricultural Trends Cl AT Acc USD,USD,10,Y,N,N,Y,1.75%,2.10%,USD 95.00,1000,100,,,,0
Eastspring Investments - Asian Equity Income ASDM SGD,SGD,8,Y,N,N,N,1.50%,1.61%,USD 613.40,1000,100,3.49%,Payout,M,0
Natixis Seeyond Volatility Strategy RA USD-H,USD,10,Y,N,N,N,1.20%,1.40%,EUR 14.40,1000,100,,,,0
Fidelity Pacific A-SGD,SGD,8,Y,N,N,N,1.50%,1.92%,USD 2035.00,1000,100,,Reinvest,Y,0
Threadneedle (Lux) Asia Contrarian Equity AU Acc USD,USD,8,Y,N,N,Y,1.50%,1.80%,USD 193.60,1000,100,,,,0
Fidelity European Dividend A-MINCOME(G)-USD (hedged),USD,8,Y,N,N,N,1.50%,1.92%,EUR 95.00,1000,100,4.08%,Payout,M,0
Fidelity European Dynamic Growth A-ACC-USD (hedged),USD,8,Y,N,N,N,1.50%,1.90%,EUR 5318.00,1000,100,,,,0
JPMorgan Funds - Asia Pacific Income A (mth) USD,USD,6,Y,N,N,Y,1.50%,1.77%,USD 1954.40,1000,500,3.77%,Payout,M,0
United Asia Fund SGD,SGD,8,Y,N,N,Y,1.25%,1.74%,SGD 43.61,1000,100,,,,0
PineBridge Global Emerging Markets Local Currency Bond A USD,USD,5,Y,N,N,Y,1.50%,2.26%,USD 19.70,1000,100,,,,0
NN (L) Emerging Markets Debt (Hard Currency) X EUR-H,EUR,5,Y,N,N,Y,1.50%,1.84%,null ,1000,100,,,,0
Eastspring Investments - Asian Equity Fund A USD,USD,8,Y,N,N,N,1.50%,2.13%,USD 323.40,1000,100,,,,0
Blackrock Asian Growth Leaders A2 SGD-H,SGD,8,Y,N,N,Y,1.50%,1.84%,USD 1761.74,1000,100,,,,0
Neuberger Berman High Yield Bond A Acc USD,USD,4,Y,N,N,Y,1.20%,1.39%,USD 3677.49,1000,100,,,,0
JPMorgan Funds - Emerging Markets Dividend A (irc) AUD-H,AUD,9,Y,N,N,Y,1.50%,1.80%,USD 513.80,1000,500,3.06%,Payout,M,0
Neuberger Berman Short Duration High Yield Bond A MDis SGD-H,SGD,4,Y,N,N,Y,1.20%,1.36%,USD 842.16,1000,100,5.61%,Payout,M,0
Schroder ISF Global Gold A Acc USD,USD,10,Y,N,N,N,1.50%,1.84%,USD 434.18,1000,100,,,,0
JPMorgan Funds - US Value A (acc) USD,USD,8,Y,N,N,Y,1.50%,1.70%,USD 2742.00,1000,500,,,,0
Neuberger Berman Short Duration High Yield Bond A MDis AUD-H,AUD,4,Y,N,N,Y,1.20%,1.35%,USD 842.16,1000,100,5.61%,Payout,M,0
Neuberger Berman Short Duration Emerging Market Debt A MDis USD,USD,4,Y,N,N,Y,1.00%,1.13%,USD 6087.65,1000,100,4.61%,Payout,M,0
BNP Paribas Target Risk Balanced Classic Dis EUR,EUR,6,Y,N,N,N,1.10%,1.77%,EUR 1688.00,1000,100,,Payout,Y,0
BNP Paribas USD Money Market Classic Cap USD,USD,2,Y,N,N,N,0.50%,0.37%,USD 406.00,1000,100,,,,0
Neuberger Berman Emerging Market Debt Hard Currency A Acc USD,USD,5,Y,N,N,Y,1.40%,1.54%,USD 4159.38,1000,100,,,,0
HGIF - Managed Solutions - Asia Focused Growth ACH SGD,SGD,7,Y,N,N,Y,1.50%,1.91%,USD 47.81,1000,100,,,,0
Schroder ISF Global Multi-Asset Income A Dis SGD,SGD,5,Y,N,N,N,1.25%,1.55%,USD 2103.39,1000,100,5.02%,Payout,M,0
Eastspring Investments - North American Value Cl A USD,USD,8,Y,N,N,N,1.50%,2.07%,USD 20.50,1000,100,,,,0
Neuberger Berman Global Bond Absolute Return A MDis SGD-H,SGD,4,Y,N,N,Y,1.00%,1.20%,USD 30.82,1000,100,2.95%,Payout,M,0
Blackrock Global Multi-Asset Income A8 AUD-H,AUD,5,Y,N,N,Y,1.50%,1.78%,USD 6747.31,1000,100,4.25%,Reinvest,M,0
Schroder ISF Global Gold A Acc SGD-H,SGD,10,Y,N,N,N,1.50%,1.87%,USD 434.18,1000,100,,,,0
Eastspring Investments - Japan Dynamic A USD-H,USD,8,Y,N,N,N,1.50%,1.59%,JPY 105039.90,1000,100,,,,0
BNP Paribas Euro High Yield Bond Classic Cap EUR,EUR,4,Y,N,N,N,1.20%,1.57%,EUR 536.00,1000,100,,,,0
Natixis Loomis Sayles Multisector Income RD SGD-H,SGD,3,Y,N,N,N,1.25%,1.38%,USD 981.30,1100,100,2.89%,Payout,Q,0
JPMorgan Funds - Emerging Markets Dividend A (mth) USD,USD,9,Y,N,N,Y,1.50%,1.80%,USD 513.80,1000,500,3.26%,Payout,M,0
Blackrock China Fund A2 EUR-H,EUR,9,Y,N,N,Y,1.50%,1.84%,USD 1311.10,1000,100,,,,0
Threadneedle (Lux) Pan European Small Cap Opportunities ASH Acc SGD-H,SGD,10,Y,N,N,Y,1.50%,1.85%,EUR 1011.00,1000,100,,,,0
Blackrock Emerging Markets Bond A2 GBP-H,GBP,5,Y,N,N,Y,1.25%,1.47%,USD 1734.04,1000,100,,,,0
Wells Fargo US Large Cap Growth Fund Cl A Acc USD,USD,8,Y,N,N,N,1.50%,1.71%,USD 203.27,1100,100,,,,0
DWS Invest Top Euroland LCH(P) SGD,SGD,8,Y,N,N,N,1.50%,1.63%,EUR 481.00,1000,100,,,,0
Schroder ISF Global Gold A Acc EUR-H,EUR,10,Y,N,N,N,1.50%,1.87%,USD 434.18,1000,100,,,,0
JPMorgan Funds - US Value A (acc) SGD,SGD,8,Y,N,N,Y,1.50%,1.80%,USD 2742.00,1000,500,,,,0
Blackrock World Financials A2 USD,USD,10,Y,N,N,Y,1.50%,1.83%,USD 703.92,1000,100,,,,0
JPMorgan Investment Funds - Global Income A (div) SGD-H,SGD,5,Y,N,N,Y,1.25%,1.45%,USD 28023.80,1000,100,4.38%,Payout,Q,0
Blackrock Emerging Markets Corporate Bond A2 USD,USD,5,Y,N,N,Y,1.50%,1.69%,USD 836.53,1000,100,,,,0
PineBridge Asia ex Japan Small Cap Equity A USD,USD,10,Y,N,N,Y,1.30%,2.02%,USD 2236.20,1000,100,,,,0
PineBridge Global Dynamic Asset Allocation A USD,USD,6,Y,N,N,Y,1.30%,1.95%,USD 967.90,1000,100,,,,0
Amundi Funds Global Aggregate Bond A2 (MD) SGD-H,SGD,4,Y,N,N,N,0.95%,1.20%,USD 5453.83,1000,100,1.54%,Payout,M,0
Neuberger Berman Global Bond Absolute Return A Acc USD,USD,4,Y,N,N,Y,1.00%,1.20%,USD 30.82,1000,100,,,,0
Blackrock China Fund A2 AUD-H,AUD,9,Y,N,N,Y,1.50%,1.84%,USD 1311.10,1000,100,,,,0
BNP Paribas Europe Growth Classic Cap EUR,EUR,8,Y,N,N,N,1.50%,1.97%,EUR 526.00,1000,100,,,,0
Eastspring Investments - Global Low Volatility Equity AS SGD,SGD,7,Y,N,N,Y,1.25%,1.42%,USD 520.80,1000,100,,,,0
Wells Fargo Emerging Markets Equity Income A Acc USD,USD,9,Y,N,N,N,1.85%,2.15%,USD 258.43,1100,100,,,,0
Allianz European Equity Dividend Cl AM DIS H2-SGD,SGD,8,Y,N,N,Y,1.50%,1.83%,EUR 1745.64,1000,100,5.70%,Payout,M,0
Threadneedle (Lux) Asia Contrarian Equity ASH Acc SGD-H,SGD,8,Y,N,N,Y,1.50%,1.80%,SGD 256.90,1000,100,,,,0
Blackrock US Dollar High Yield Bond A2 AUD-H,AUD,4,Y,N,N,Y,1.25%,1.46%,USD 3594.00,1000,100,,,,0
Blackrock Global Equity Income A5 SGD-H,SGD,7,Y,N,N,Y,1.50%,1.83%,USD 995.69,1000,100,2.29%,Reinvest,Q,0
Blackrock European Special Situations A2 USD-H,USD,8,Y,N,N,Y,1.50%,1.82%,EUR 1232.96,1000,100,,,,0
Blackrock Asian Tiger Bond A6 SGD-H,SGD,4,Y,N,N,Y,1.00%,1.22%,USD 5580.79,1000,100,4.87%,Reinvest,M,0
Fullerton Lux Funds - Asian High Yield Bonds A Dis SGD-H,SGD,5,Y,N,N,Y,1.25%,1.42%,SGD 233.42,1000,100,5.03%,Payout,Q,0
FTIF - Franklin Mutual US Value A Acc SGD,SGD,8,Y,N,N,Y,1.00%,1.85%,USD 289.00,1000,100,,,,0
Legg Mason Western Asset - US Government Liquidity A Acc USD,USD,2,Y,N,N,N,0.80%,0.51%,USD 934.00,1000,100,,,,0
JPMorgan Funds - Korea Equity A (acc) USD,USD,9,Y,N,N,Y,1.50%,1.80%,USD 674.70,1000,500,,,,0
Nikko AM Shenton Short Term Bond AUD-H,AUD,2,Y,N,N,Y,0.50%,0.61%,SGD 364.81,5000,100,,,,0
Neuberger Berman Asian Debt Hard Currency A MDis SGD,SGD,4,Y,N,N,Y,1.20%,1.40%,USD 18.51,1000,100,4.63%,Payout,M,0
BNP Paribas Flexi I US Mortgage Classic H MD Dis CNH,CNH,5,Y,N,N,N,0.90%,1.26%,USD 446.00,1000,100,4.32%,Payout,M,0
Blackrock Global Corporate Bond A8 AUD-H,AUD,3,Y,N,N,Y,0.90%,1.12%,USD 2144.61,1000,100,2.11%,Reinvest,M,0
Blackrock Emerging Markets Bond A3 USD,USD,5,Y,N,N,Y,1.25%,1.47%,USD 1734.04,1000,100,2.81%,Reinvest,M,0
Blackrock Latin American A2 AUD-H,AUD,9,Y,N,N,Y,1.75%,2.11%,USD 853.41,1000,100,,,,0
Blackrock Emerging Europe A2 SGD-H,SGD,9,Y,N,N,Y,1.75%,2.07%,EUR 617.39,1000,100,,,,0
Allianz US Short Duration High Income Bond Cl AM DIS H2-EUR,EUR,4,Y,N,N,Y,1.10%,1.34%,USD 1179.61,1000,100,3.57%,Payout,M,0
Fullerton Lux Funds - RMB Bonds A Acc SGD,SGD,5,Y,N,N,Y,0.80%,1.08%,SGD 110.00,1000,100,,,,0
Fullerton Lux Funds - Asian Short Duration Bond A Acc SGD-H,SGD,3,Y,N,N,Y,0.70%,0.88%,SGD 209.86,1000,100,,,,0
Allianz Asian Multi Income Plus Cl AMg DIS H2-AUD,AUD,6,Y,N,N,Y,1.25%,1.50%,USD 299.27,1000,100,4.88%,Payout,M,0
JPMorgan Funds - US Technology A (dist) USD,USD,10,Y,N,N,Y,1.50%,1.75%,USD 5437.60,1000,100,0.02%,Reinvest,Y,0
United Income Focus Trust Acc SGD-H,SGD,6,Y,N,N,Y,1.25%,1.56%,SGD 1359.99,1000,100,,,,0
United Income Focus Trust Dis SGD-H,SGD,6,Y,N,N,Y,1.25%,1.56%,SGD 1359.99,1000,100,6.22%,Payout,M,0
LionGlobal Asia Bond SGD-H,SGD,4,Y,N,N,Y,1.00%,1.11%,SGD 144.00,1000,100,3.57%,Payout,Q,0
Fidelity Greater China A-USD,USD,8,Y,N,N,Y,1.50%,1.93%,USD 1162.00,1000,100,0.13%,Reinvest,Y,0
FTSF - Franklin Global Sukuk A (Mdis) SGD,SGD,5,Y,N,N,Y,1.00%,1.50%,USD 290.00,1000,100,3.40%,Reinvest,M,0
BNP Paribas Emerging Multi-Asset Income Classic MD Dis USD,USD,6,Y,N,N,N,1.25%,1.67%,USD 91.00,1000,100,6.80%,Payout,M,0
BNP Paribas Emerging Multi-Asset Income Classic Cap USD,USD,6,Y,N,N,N,1.25%,1.67%,USD 91.00,1000,100,,,,0
BNP Paribas Emerging Multi-Asset Income Classic RH MD Dis AUD,AUD,6,Y,N,N,N,1.25%,1.67%,USD 143.52,1000,100,6.66%,Payout,M,0
HGIF - Managed Solutions - Asia Focused Conservative AC USD,USD,7,Y,N,N,N,0.70%,1.15%,USD 70.46,1000,100,,,,0
Blackrock Global Corporate Bond A6 USD,USD,3,Y,N,N,Y,0.90%,1.12%,USD 2144.61,1000,100,2.56%,Reinvest,M,0
JPMorgan Funds - Global Corporate Bond A (mth) USD,USD,3,Y,N,N,Y,0.80%,1.00%,USD 7342.30,1000,500,3.27%,Payout,M,0
Natixis DNCA Emerging Europe Equity RA SGD,SGD,9,Y,N,N,N,1.47%,1.70%,USD 39.60,1500,100,,,,0
Eastspring Investments - World Value Equity A USD,USD,7,Y,N,N,N,1.50%,2.11%,USD 405.50,1000,100,,,,0
Neuberger Berman Asian Debt Hard Currency A Acc USD,USD,4,Y,N,N,Y,1.20%,1.40%,USD 18.51,1000,100,,,,0
Neuberger Berman Asian Debt Hard Currency A MDis USD,USD,4,Y,N,N,Y,1.20%,1.40%,USD 18.51,1000,100,4.63%,Payout,M,0
Legg Mason Brandywine - Global Fixed Income Absolute Return A Acc USD,USD,4,Y,N,N,N,1.35%,1.58%,USD 725.00,1000,100,,,,0
Schroder ISF Japanese Equity A Acc USD,USD,8,Y,N,N,N,1.25%,1.61%,JPY 188232.14,1000,100,,,,0
Fidelity Greater China Multi Asset Growth & Income A-ACC-USD,USD,8,Y,N,N,N,1.25%,1.61%,USD 24.00,1000,100,,,,0
Manulife SGD Income A QDis SGD,SGD,3,Y,N,N,Y,1.00%,1.14%,SGD 655.80,1000,100,4.02%,Payout,Q,0
Aberdeen Standard Singapore Equity USD,USD,8,Y,N,N,N,1.50%,1.75%,SGD 767.00,1000,100,,,,0
BNP Paribas Energy Transition Classic USD,USD,10,Y,N,N,N,1.50%,1.97%,EUR 3077.00,1000,100,,,,0
BNP Paribas Flexi I US Mortgage Classic MD Dis USD,USD,5,Y,N,N,N,0.90%,1.24%,USD 446.00,1000,100,1.99%,Payout,M,0
BNP Paribas Flexi I US Mortgage Classic H MD Dis AUD,AUD,5,Y,N,N,N,0.90%,1.26%,USD 446.00,1000,100,2.00%,Payout,M,0
HGIF - Global Emerging Markets Equity AD SGD,SGD,9,Y,N,N,Y,1.50%,1.90%,USD 330.17,1000,100,0.53%,Reinvest,Y,0
